Reference, Quantity, Value, Footprint, Datasheet, MFN, MPN, PurchasingLink, Field4, Field5, Field6, Purchasing Link
C1 C8 C10 C13 C15 C26 ,6,"C_4.7uF_25V","footprints:C_0805_OEM","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM219R61E475KA73-01.pdf","","","https://www.digikey.com/product-detail/en/tdk-corporation/C2012X7R1H225M125AE/445-172488-1-ND/4990030","","","",""
C16 ,1,"C_100pF","footprints:C_0805_OEM","https://katalog.we-online.de/pbs/datasheet/885012007057.pdf","DK","732-7852-1-ND","https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007057/732-7852-1-ND/5454479","","","",""
C17 C20 ,2,"C_10uF_16V","footprints:C_0805_OEM","","DK","1276-2399-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KOCLRNC/1276-2399-1-ND/3890485","","","",""
C18 C25 ,2,"C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","","",""
C19 C27 ,2,"C_10uF_25V","footprints:C_0805_OEM","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61E106KA73-01.pdf","","","","","","","https://www.digikey.com/product-detail/en/murata-electronics/GRM21BR61E106KA73K/490-16824-1-ND/7595732"
C2 C9 C11 C14 ,4,"C_100nF","footprints:C_0603_1608Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A475KQ8NNNC.jsp","DK","1276-6717-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B104KA8WPNC/1276-6717-1-ND/5961576","","","",""
C21 ,1,"C_2.2uF","footprints:C_0805_OEM","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf","","","https://www.digikey.com/product-detail/en/tdk-corporation/C2012X7R1H225M125AE/445-172488-1-ND/4990030","","","",""
C23 C22 ,2,"C_1uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZKY5V9BB105/311-1909-1-ND/5195811#images","","","",""
C28 ,1,"C_1000nF","footprints:C_0603_1608Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A475KQ8NNNC.jsp","DK","1276-1946-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B105KP8NNNC/1276-1946-1-ND/3890032","","","",""
C3 C7 C24 ,3,"C_30pF","footprints:C_0805_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf","DK","1276-1130-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216","","","",""
C5 C6 C12 C4 C29 ,5,"C_10uF_50V","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61H106KE43-01A.pdf","Murata","GRM21BR61H106KE43L","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61H106KE43L/10326316","","","",""
D2 ,1,"D_Zener_13V","footprints:D_13V_Zener","http://www.onsemi.com/pub/Collateral/1SMB5913BT3-D.PDF","DK","1SMB5928BT3GOSCT-ND","https://www.digikey.com/product-detail/en/1SMB5928BT3G/1SMB5928BT3GOSCT-ND/917730?WT.z_cid=ref_octopart_dkc_buynow&site=us","","","",""
D3 D1 D8 ,3,"LED_0805","footprints:LED_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","DK","475-1410-1-ND","https://www.digikey.com/products/en?keywords=475-1410-1-ND","","","",""
D4 ,1,"LED_0805_Red","footprints:LED_0805_OEM","http://www.osram-os.com/Graphics/XPic8/00078869_0.pdf","DK","475-1415-1-ND","https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LH-R974-LP-1/475-1415-1-ND/1802604","","","",""
D5 D6 ,2,"LED_0805_Amber","footprints:LED_0805_OEM","https://media.digikey.com/pdf/Data%20Sheets/Chicago%20Miniature%20Lamps%20PDFs/CMDA5_Series_Rev_Aug_2014.pdf","DK","L71517CT-ND","https://www.digikey.com/product-detail/en/visual-communications-company-vcc/CMDA5DY7D1S/L71517CT-ND/614867","","","",""
D7 ,1,"D_Zener_2V","footprints:SOD-323","https://www.vishay.com/docs/83334/gdzg.pdf","Vishay","GDZ2V0B-G3-08","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/GDZ2V0B-G3-08/4831605","","","",""
F1 ,1,"F_500mA_16V","footprints:Fuse_1210","https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf","DK","507-1786-1-ND","https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209","","","",""
F2 ,1,"1.5A_Fuse","footprints:Fuse_1206","https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_466_datasheet.pdf.pdf","046601.5NR","F1462CT-ND","https://www.digikey.com/product-detail/en/littelfuse-inc/046601.5NR/F1462CT-ND/521360","","","",""
J1 ,1,"USB-Micro-1981568-1","footprints:TE_1981568-1","","","1981568-1","",".65 mm[.025 in]","Connector","1981568-1","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1981568-1/1786248?s=N4IgTCBcDaIIwE4AccCsA2JBaOIC6AvkA"
J14 ,1,"SSW-122-01-G-D","footprints:SAMTEC_SSW-122-01-G-D","http://suddendocs.samtec.com/prints/ssw-d.pdf","Samtec","SSW-122-01-G-D","https://www.digikey.com/en/products/detail/samtec-inc/SSW-122-01-G-D/1112036","","","",""
J2 ,1,"Barrel_jack","footprints:barrel_jack_PJ-037A","https://www.cui.com/product/resource/pj-037a.pdf","DK","CP-037A-ND","https://www.digikey.com/product-detail/en/cui-inc/PJ-037A/CP-037A-ND/1644545","","","",""
J4 J3 ,2,"MM_F_VT_08_SM","footprints:micromatch_female_vert_8_sm","","TE","A107024CT-ND","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/188275-8/1860417","","","",""
J5 J13 J15 ,3,"CONN_01x02","footprints:pinheader_1x2","https://katalog.we-online.de/em/datasheet/6130xx11121.pdf","DK","732-5315-ND","","","","",""
J6 ,1,"DSub-9","footprints:TE_5745781-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=82068_AMPLIMITE_Right-Angle_Posted_Conn&DocType=CS&DocLang=English","TE","5745781-4","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5745781-4/808630?s=N4IgTCBcDaIKwHYAsiAcBGAtEkBdAvkA","","","",""
J7 J8 J9 J10 J11 J12 J19 J16 J18 J17 J20 ,11,"CONN_01X03","footprints:PinHeader_1x03_P2.54mm_Vertical","https://www.mouser.com/datasheet/2/181/M20-999-1218971.pdf","Mouser","855-M20-9990346","https://www.mouser.com/ProductDetail/Harwin/M20-9990346?qs=sGAEpiMZZMs%252bGHln7q6pmzlZUuX%2f53qj1ROyRKct5o4%3d","","","",""
Q1 Q2 Q3 Q4 ,4,"SSM3K333R","footprints:SOT-23F","https://drive.google.com/drive/folders/0B-V-iZf33Y4GNzhDQTJZanJRbVk","DK","SSM3K333RLFCT-ND","https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391","","","",""
R10 R11 R44 R45 R46 ,5,"R_0","footprints:R_0603_1608Metric","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEY0R00V+7+WW","DK","P0.0GCT-ND","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3GEY0R00V/P0.0GCT-ND/134711","","","",""
R12 R14 R21 R22 ,4,"R_8.06k","footprints:R_0805_OEM","https://media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/RQ73-0618%20v2.pdf","TE","RQ73C2A8K06BTD","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/RQ73C2A8K06BTD/9480725","","","",""
R16 ,1,"R_120_DNP","footprints:R_0805_OEM","","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","","",""
R18 R25 R27 R7 ,4,"R_1.91K","footprints:R_0805_OEM","","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB6D1911V/P21049CT-ND/6215304","","","",""
R19 ,1,"R_200K","footprints:R_0805_OEM","","DK","P300KDACT-ND","","","","",""
R20 ,1,"R_39K","footprints:R_0805_OEM","","TE","CRG0805F39K","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F39K/2380898","","","",""
R23 R30 ,2,"R_1K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","DK","RNCP0805FTD1K00CT-ND","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND","","","",""
R4 ,1,"R_1M","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","DK","RMCF0805JT1M00CT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT1M00/RMCF0805JT1M00CT-ND/1942600","","","",""
R40 ,1,"R_33.2k","footprints:R_0805_OEM","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English","TE","5-2176093-2","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/5-2176093-2/4034157","","","",""
R41 ,1,"R_49.90k","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic","ERA-6AEB4992V","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6AEB4992V/2025816","","","",""
R42 ,1,"R_330","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","DK","RMCF0805FT330RCT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT330R/RMCF0805FT330RCT-ND/1942351","","","",""
R43 ,1,"R_0_2512","footprints:R_2512_OEM","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English","DK","A121322CT-ND","https://www.digikey.com/products/en?keywords=A121322CT-ND","","","",""
R5 R3 R13 R17 R15 R24 R26 R31 R29 R28 ,10,"R_10K","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","DK","CRS0805-FX-1002ELFCT-ND","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND","","","",""
R8 R1 R6 R38 R32 R36 R34 ,7,"R_12K","footprints:R_0805_OEM","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-9&DocType=DS&DocLang=English","TE","CRGP0805F12K","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGP0805F12K/8577092","","","",""
R9 R2 R39 R33 R37 R35 ,6,"R_3.01K","footprints:R_0805_OEM","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf","DK","311-3.01KCRCT-ND","https://www.digikey.com/products/en?keywords=311-3.01KCRCT-ND","","","",""
U1 ,1,"R_500","footprints:R_0805_OEM",""
U2 ,1,"FT4222H","footprints:FT4222_QFN","http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT4222H.pdf","FTDI","FT4222HQ-D-R","https://www.digikey.com/en/products/detail/ftdi-future-technology-devices-international-ltd/FT4222HQ-D-R/8753389","","","",""
U3 ,1,"PCA9306","footprints:SOP50P310X90-8N_pca9306","https://www.ti.com/lit/ds/symlink/pca9306.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1629817795361","TI","PCA9306DCUTG4","https://www.digikey.com/en/products/detail/texas-instruments/PCA9306DCUTG4/1899814","","","",""
U4 ,1,"AD5675","footprints:SOP65P640X120-20N_AD","https://www.analog.com/media/en/technical-documentation/data-sheets/AD5675.pdf","Analog","AD5675ARUZ-REEL7","https://www.digikey.com/en/products/detail/analog-devices-inc/AD5675ARUZ-REEL7/5408973","","","",""
U5 ,1,"MAX7300AAXT","footprints:SOP80P1030X264-36N","https://datasheets.maximintegrated.com/en/ds/MAX7300.pdf","Maxim","MAX7300AAX+","https://www.digikey.com/en/products/detail/maxim-integrated/MAX7300AAX/1511928","","","",""
U6 ,1,"AD7091R-5BRUZ","footprints:AD7091R-5BRUZ","https://www.analog.com/media/en/technical-documentation/data-sheets/AD7091R-5.pdf","DK","AD7091R-5BRUZ-ND","https://www.digikey.com/en/products/detail/analog-devices-inc/AD7091R-5BRUZ/5441090","","","",""
U7 ,1,"MCP6001","footprints:SOT-23-5_OEM","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/OTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158","","","",""
U8 ,1,"74HCT4051D","footprints:74HCT4051D","https://assets.nexperia.com/documents/data-sheet/74HC_HCT4051.pdf","DK","1727-2850-1-ND","https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4051D-118/763152","","","",""
U9 ,1,"LT3045","footprints:MSOP-12_MSE","https://www.analog.com/media/en/technical-documentation/data-sheets/LT3045.pdf","Analog","LT3045EMSE#TRPBF","https://www.digikey.com/en/products/detail/analog-devices-inc/LT3045EMSE-TRPBF/6235366","","","",""
Y1 ,1,"Crystal_12MHz","footprints:Crystal_SMD_FA238","https://ecsxtal.com/store/pdf/ecx-32.pdf","DK","ECS-120-20-33-CKM-TR","https://www.digikey.com/en/products/detail/ecs-inc/ECS-120-20-33-CKM-TR/2781815","","","",""
