Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Link,Digi-key Part Number,Purchasing Link
1,,C_0.1uF-formula,C1 C4 C15 C101 C103,C_0.1uF,C_0805_OEM,5,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,DK,https://www.digikey.com/products/en?keywords=478-3352-1-ND,,,
2,,C_100pF-formula,C2,C_100pF,C_0805_OEM,1,https://katalog.we-online.de/pbs/datasheet/885012007057.pdf,Value,732-7852-1-ND,DK,https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007057/732-7852-1-ND/5454479,,,
3,,C_2.2uF-formula,C102,C_2.2uF,C_0603_1608Metric,1,http://www.yageo.com/documents/recent/UPY-GPHC_X5R_4V-to-50V_25.pdf,,311-1451-1-ND,DK,https://www.digikey.com/product-detail/en/yageo/CC0603KRX5R6BB225/311-1451-1-ND/2833757,,,
4,,C_30pF-formula,C9 C10 C13 C14,C_30pF,C_0805_OEM,4,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,,,
5,,C_22uF-formula,COUT101,C_22uF,C_1206_OEM,1,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,,445-11693-1-ND,DK,https://www.digikey.com/product-detail/en/tdk-corporation/C3216JB1C226M160AB/445-11693-1-ND/3953359,,,
6,,C_33uF-formula,COUT102,C_33uF,C_1812_OEM,1,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,,445-3924-1-ND,C4532X7R1C336M250KC,https://www.digikey.com/product-detail/en/tdk-corporation/C4532X7R1C336M250KC/445-3924-1-ND/1923431,,,
7,,C_47uF-formula,COUT103,C_47uF,C_0805_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/22/CL21A476MQYNNNG.pdf,,1276-6467-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A476MQYNNNG/1276-6467-1-ND/5958095,,,
8,,D_Zener_18V-formula,D101,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,,SMBJ5355B-TPMSCT-ND,DK,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND,,,
9,Light emitting diode,LED,D3 D4 D5 D6 D8 D9,LED,LED_0805_OEM,6,,,,,,,,
10,,LED_0805-formula,D102 D103,LED_0805,LED_0805_OEM,2,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,,475-1410-1-ND,DK,https://www.digikey.com/products/en?keywords=475-1410-1-ND,,,
11,,F_500mA_16V-formula,F101,F_500mA_16V,Fuse_1210,1,https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,,507-1786-1-ND,DK,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209,,,
12,,CONN_02X03-formula,J4 J5,CONN_02X03,Pin_Header_Straight_2x03,2,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,DK,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,,,
13,,MM_F_VT_04-formula,J3,MM_F_VT_04,micromatch_female_vert_4,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F338068-4,,338068-4,TE,http://www.te.com/global-en/product-338068-4.html,,,
