Component,References,Value,Footprint,Quantity Per PCB
1,C1 C2 C6 C10 C101 C103,C_0.1uF,C_0805_OEM,6
2,C7,C_100pF,C_0805_OEM,1
3,C102,C_2.2uF,C_0603_1608Metric,1
4,C8 C9,C_30pF,C_0805_OEM,2
5,COUT101,C_22uF,C_1206_OEM,1
6,COUT102,C_33uF,Fuse_1812,1
7,COUT103,C_47uF,C_0805_OEM,1
8,D101,D_Zener_18V,DO-214AA,1
9,D1 D2 D3 D4 D6 D8 D102 D103,LED_0805,LED_0805_OEM,8
10,F101,F_500mA_16V,Fuse_1210,1
11,IC1,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1
12,J3,CONN_02X03,Pin_Header_Straight_2x03,1
13,J2,micromatch_female_TOP_ENTRY_locking_20,micromatch_female_vert_20,1
14,J1,micromatch_female_TOP_ENTRY_locking_4,micromatch_female_vert_4,1
15,L101,L_100uH,L_100uH,1
16,Q1 Q2 Q3,SSM3K333R,SOT-23F,3
17,R2 R3,R_0,R_0603_1608Metric,2
18,R4 R10,R_0-formula,R_0603_1608Metric,2
19,R104,R_0_2512,R_2512_OEM,1
20,R26,R_100,R_0805_OEM,1
21,R15 R19 R22 R103,R_100k,R_0805_OEM,4
22,R16 R20 R23 R29,R_10k,R_0805_OEM,4
23,R30,R_120 DNP,R_0805_OEM,1
24,R1 R9,R_1M,R_0805_OEM,2
25,R14 R17 R21,R_1k,R_0805_OEM,3
26,R5 R11,R_2.2k,R_0805_OEM,2
27,R6 R7 R8 R101 R105 R_1 R_2,R_200,R_0805_OEM,7
28,R12 R13,R_22K,R_0805_OEM,2
29,R102,R_25K,R_0805_OEM,1
30,U4,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1
31,U1 U2,MCP6001,SOT-23-5_OEM,2
32,U101,TPS560430YF,SOT-23-6_OEM,1
33,Y1,Crystal_SMD,Crystal_SMD_FA238,1
,,,,
,,,,
,,,,
,,,,
,,,,
Component Groups:,,,,
Component Count:,,,,
Fitted Components:,,,,
Number of PCBs:,,,,
Total components:,,,,
Schematic Version:,,,,
Schematic Date:,,,,
PCB Variant:,,,,
BoM Date:,,,,
Schematic Source:,,,,
KiCad Version:,,,,
