Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink
1,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C1 C5 C6 C7 C10 C102 C105,C_0.1uF,C_0805_OEM,7,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key DK,https://www.digikey.com/products/en?keywords=478-3352-1-ND
2,"Capacitor, 100pF, 50V, 5%, 0805",C_100pF,C2,C_100pF,C_0805_OEM,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,Value,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397
3,"Capacitor, 10nF 50V X7R 0805",C_10nF,C8 C9,C_10nF,C_0805_OEM,2,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/07/23/CL21B103KBANNNC.pdf,,1276-1015-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B103KBANNNC/1276-1015-1-ND/3889101
4,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C104,C_1uF,C_0805_OEM,1,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-10487-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/08053C105JAT2A/478-10487-1-ND/6797628
5,"Capacitor, 22uF, 16V, 20%, 1206",C_22uF,C101,C_22uF,C_1206_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2017/07/28/S_CL31A226KOCLFNC.pdf,Value,1276-2725-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1276-2725-1-ND
6,"Capacitor, 30pF, 50V, 5%, 0805",C_30pF,C3 C4,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216
7,"Capacitor, 47uF, 6.3V, 20%, 0805",C_47uF,C103,C_47uF,C_0805_OEM,1,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,Value,587-4280-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/taiyo-yuden/JMK212BBJ476MG-T/587-4280-1-ND/5344315
8,"Schottky Diode, 40V, 120mA, SOT23",BAS40-00,D4,BAS40-00,SOT-23,1,https://assets.nexperia.com/documents/data-sheet/BAS40_1PSXXSB4X_SER.pdf,,1727-4234-1-ND,DK,https://www.digikey.com/product-detail/en/nexperia-usa-inc/BAS40215/1727-4234-1-ND/2122190
9,"Diode, Zener, 18V, 5W, 5%",D_Zener_18V,D101,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,DO-214AA (SMB),SMBJ5355B-TPMSCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND
10,"LED, Green, 2.2V, 20mA, 0805",LED_0805,D1 D2 D3 D102 D103,LED_0805,LED_0805_OEM,5,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,DK Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND
