Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink
1,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C19 C20 C21 C22 C23,1uF,C_0805_OEM,5,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf,1276-2887-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973
2,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C17 C18 C24 C25,C_0.1uF,C_0805_OEM,4,http://datasheets.avx.com/X7RDielectric.pdf,478-3352-1-ND,DK,https://www.digikey.com/products/en?keywords=478-3352-1-ND
3,"Capacitor, 10nF 50V X7R 0805",C_10nF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C26 C27 C28 C29 C30 C31 C32 C33 C37,C_10nF,C_0805_OEM,25,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/07/23/CL21B103KBANNNC.pdf,1276-1015-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B103KBANNNC/1276-1015-1-ND/3889101
4,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C34 C35 C36,C_1uF,C_0805_OEM,3,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf,1276-2887-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973
5,Micro-MaTch connector 10 pin female vertical,MM_F_VT_10,J2,MM_F_VT_10,micromatch_female_vert_10,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-0,1-338068-0,TE,http://www.te.com/global-en/product-1-338068-0.html
6,Micro-MaTch connector 12 pin female vertical,MM_F_VT_12,J1 J4,MM_F_VT_12,micromatch_female_vt_12,2,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-2,1-338068-2,TE,http://www.te.com/global-en/product-1-338068-2.html
7,Micro-MaTch connector 16 pin female vertical,MM_F_VT_16,J3,MM_F_VT_16,micromatch_female_vert_16,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-6,1-338068-6,TE,http://www.te.com/global-en/product-1-338068-6.html
8,Micro-MaTch connector 12 pin male vertical,MM_M_VT_12,J5,MM_M_VT_12,micromatch_female_vt_12,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-1-215464-2,1-215464-2,TE,http://www.te.com/global-en/product-1-215464-2.html
9,"100V, 2.0A, Low VCE NPN Transistor",NSS1C201MZ4,Q1 Q2,NSS1C201MZ4,SOT-223,2,http://www.onsemi.com/pub/Collateral/NSS1C201MZ4-D.PDF,NSS1C201MZ4T3GOSCT-ND,DK,https://www.digikey.com/product-detail/en/on-semiconductor/NSS1C201MZ4T3G/NSS1C201MZ4T3GOSCT-ND/9087487
10,"Resistor, 100, 0.25W, 1%, 0805",R_100,R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R43 R44 R77,R_100,R_0805_OEM,23,https://www.seielect.com/Catalog/SEI-rncp.pdf,RNCP0805FTD100RCT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND
